"Unknown postcode + housenumber combination.","Onbekende postcode/huisnummer combinatie"
"Housenumber format is not valid.","Huisnummer is niet correct ingevuld."
"Incorrect address.","Incorrect adres."
"Housenumber addition `{addition}` is unknown.",Huisnummer toevoeging `{addition}` is onbekend."
"Housenumber addition required.","Huisnummer toevoeging is verplicht."
"Invalid postcode format, use `1234AB` format.","Ongeldige postcode, gebruik bijvoorbeeld `1234AB`."
"Validation error, please use manual input.","Postcode validatie fout, gebruik handmatige invoer."
"Validation unavailable, please use manual input.","Postcode validatie niet beschikbaar, gebruik handmatige invoer."
"Cannot connect to Postcode.nl API: Server is missing SSL (https) support for CURL.","Kan niet verbinden met Postcode.nl API: Server heeft geen SSL (https) ondersteuning voor CURL."
"Postcode","Postcode"
"Housenumber","Huisnummer"
"Houseno addition","Huisnummer toevoeging"
"Housenumber addition","Huisnummer toevoeging"
"Select...","Selecteer..."
"No addition.","Geen toevoeging."
"`No addition.`","`Geen toevoeging`"
"`{addition}`","`{addition}`"
"Housenumber (with any additions)","Huisnummer (met toevoeging)"
"Postcode.nl API not configured.","Postcode.nl API is niet ingesteld."
"Postcode.nl API not enabled.","Postcode.nl API is niet geactiveerd."
"- disabled -","- uitgeschakeld -"
"Address validation","Adresvalidatie"
"Fill out your postcode and housenumber to auto-complete your address.","Vul uw postcode en huisnummer in en uw adres wordt automatisch aangevuld."
"Manual input","Handmatige invoer"
"Fill out address information manually","Vul uw adres handmatig in"
"Validated address","Gevalideerd adres"
"API Showcase","API Showcase"
"API Debug Info","API Debug Informatie"
"Post office box not allowed.","Postbusadres is niet toegestaan."
"A test connection to the API was successfully completed.","Een testverbinding met de Postcode.nl API is succesvol verlopen."
"Your server could not connect to the Postcode.nl server.","De server kan niet verbinden met de Postcode.nl server."
"Your servers' \"cURL SSL CA bundle\" is missing or outdated. Further information:", "De servers ' \"cURL SSL CA bundle\" is niet aanwezig of verouderd. Meer info:"
"How to update/fix your CA cert bundle","Hoe kan ik mijn CA cert bundle updaten?"
"About cURL SSL CA certificates",Over cURL SSL CA certificates"
"cURL cannot read/access the CA cert file:","cURL kan het CA cert bestand niet lezen:"
"Error message:","Foutmelding:"
"Google the error message","Google de foutmelding"
"Contact your hosting provider if problems persist.","Neem contact op met de hostingprovider als het probleem blijft bestaan."
"The response from the Postcode.nl service could not be understood.","De reactie van de  Postcode.nl API wordt niet geinterpreteerd."
"The service might be temporarily unavailable, if problems persist, please contact <a href=\"mailto:info@postcode.nl\">info@postcode.nl</a>.","De dienst kan tijdelijk niet beschikbaar zijn, als het probleem bijft bestaan, neem contact op met <a href=\"mailto:info@postcode.nl\">info@postcode.nl</a>."
"Technical reason: No valid JSON was returned by the request.","Technische fout: No valid JSON was returned by the request."
"`API Secret` specified is incorrect.","Opgegegeven `API Secret` is niet correct."
"`API key` specified is incorrect.","Opgegeven `API key` is niet correct."
"Authentication is incorrect.","Authenticatie niet correct."
"Access is denied.","Toegang is geweigerd."
"Service reported an error.","API geeft een foutmelding."
"Postcode.nl service message:","Postcode.nl API bericht:"
"Postcode.nl API Test: ","Postcode.nl API Test: "
"Postcode.nl API Test Troubleshooting: ","Postcode.nl API Test Troubleshooting: "
"Configure your `API key` and `API secret`.","Configureer uw `API key` en `API secret`."
"Technical reason: Received JSON data did not contain expected data.","Technical reason: Received JSON data did not contain expected data."
"Configuration","Configuratie"
"Enabled in frontend","Geactiveerd op frontend"
"API key","API key"
"API secret","API secret"
"To get your Postcode.nl API key and secret, please register at <a href='https://services.postcode.nl/adresdata/adres-validatie' target='_blank'>Postcode.nl API</a>.","Registreer op <a href='https://services.postcode.nl/adresdata/adres-validatie' target='_blank'>Postcode.nl API</a> om uw Postcode.nl API key and API secret te ontvangen."
"Advanced Address API configuration","Geavanceerde Postcode API configuratie"
"Separate housenumber","Separaat huisnummer"
"If you use the second 'street' field as a separate house-number field, enable this option.","Wanneer u het tweede 'street' veld gebruikt, activeer dan deze optie."
"Separate housenumber addition","Separaat huisnummer toevoeging"
"If you use the third 'street' field as a separate house-number addition field, enable this option. (requires 'Separate housenumber' option to be enabled too)","Wanneer u het derde 'street' veld gebruikt als separaat huisnummer, activeer dan deze optie."
"Block post office box addresses","Blokkeer postbus adressen."
"This will consider 'post office box' (postbus) addresses invalid for all validated address fields.<br /><em>(though still allowed if address is added with 'manual' checkbox)</em>","Dit zal postbus adressen als niet geldig beschouwen voor alle gevalideerde adresvelden..<br /><em>(Postbus zal nog steeds toegestaan zijn als iemand zijn adres handmatig invult)</em>"
"Always show country selector","Laat altijd de landselectie zien"
"For webshops with a more international audience, always show the country selection box.<br /><b>Developer Note</b>: If there are other fields next to the country selector, they will be disabled.","Voor webshops met een meer internationaal publiek, laat dan altijd de landselectie zien. <br /><b>Voor developers</b>: Wanneer er velden naast de landselectie staan, dan worden die ook uitgeschakeld."
"Development configuration","Development configuratie"
"API URL","API URL"
"Enable API Showcase","Activeer API Showcase"
"By enabling this option, you will see what additional information the Postcode.nl API has to offer, every time your information is enriched.<br /><em>(dit is niet aanbevolen in productie omgeving!)</em>","Wanneer u deze optie activeert, zult u zien welke extra informatie de Postcode.nl API kan bieden."
"Show API Debug info","Laat de API Debug informatie zien"
"Additional debug information used for trouble-shooting will be sent by the Postcode.nl API extension.<br /><em>(this is not recommended in production environments!)</em>","Extra debug informatie zal getoond worden door de extensie.<br /><em>(dit is niet aanbevolen in productie omgeving!)</em>"
"Enabled in admin","Ingeschakeld in admin"
"You can disable this option if you encounter problems in the admin address validation, or want to allow all addresses in the admin.","U kunt deze optie uitschakelen wanneer u problemen ondervindt met de adresvalidatie in de admin sectie van Maqgento, of wanneer u alle adressen in de admin wil toestaan"
"<h3>Address validation</h3>Fill out your postcode and housenumber to auto-complete your address.","<h3>Adres</h3>Vul uw postcode en huisnummer in en uw adres wordt automatisch en foutloos aangevuld."
"Your address:","Uw adres:"
